sector,symbol,yf_ticker
Financial Services,POONAWALLA,POONAWALLA.NS
Financial Services,PFC,PFC.NS
Power,POWERGRID,POWERGRID.NS
Capital Goods,PREMIERENE,PREMIERENE.NS
Realty,PRESTIGE,PRESTIGE.NS
Media Entertainment & Publication,PFOCUS,PFOCUS.NS
Financial Services,PNB,PNB.NS
Capital Goods,RRKABEL,RRKABEL.NS
Financial Services,RBLBANK,RBLBANK.NS
Financial Services,RECLTD,RECLTD.NS
Capital Goods,RHIM,RHIM.NS
Construction,RITES,RITES.NS
Fast Moving Consumer Goods,RADICO,RADICO.NS
Construction,RVNL,RVNL.NS
Telecommunication,RAILTEL,RAILTEL.NS
Healthcare,RAINBOW,RAINBOW.NS
Automobile and Auto Components,RKFORGE,RKFORGE.NS
Services,REDINGTON,REDINGTON.NS
Oil Gas & Consumable Fuels,RELIANCE,RELIANCE.NS
Power,RPOWER,RPOWER.NS
Financial Services,SBFC,SBFC.NS
Financial Services,SBICARD,SBICARD.NS
Financial Services,SBILIFE,SBILIFE.NS
Power,SJVN,SJVN.NS
Chemicals,SRF,SRF.NS
Information Technology,SAGILITY,SAGILITY.NS
Healthcare,SAILIFE,SAILIFE.NS
Financial Services,SAMMAANCAP,SAMMAANCAP.NS
Automobile and Auto Components,MOTHERSON,MOTHERSON.NS
Consumer Services,SAPPHIRE,SAPPHIRE.NS
Metals & Mining,SARDAEN,SARDAEN.NS
Media Entertainment & Publication,SAREGAMA,SAREGAMA.NS
Automobile and Auto Components,SCHAEFFLER,SCHAEFFLER.NS
Capital Goods,SCHNEIDER,SCHNEIDER.NS
Services,SCI,SCI.NS
Construction Materials,SHREECEM,SHREECEM.NS
Financial Services,SHRIRAMFIN,SHRIRAMFIN.NS
Capital Goods,SHYAMMETL,SHYAMMETL.NS
Capital Goods,ENRIN,ENRIN.NS
Capital Goods,SIEMENS,SIEMENS.NS
Realty,SIGNATURE,SIGNATURE.NS
Realty,SOBHA,SOBHA.NS
Chemicals,SOLARINDS,SOLARINDS.NS
Automobile and Auto Components,SONACOMS,SONACOMS.NS
Information Technology,SONATSOFTW,SONATSOFTW.NS
Financial Services,STARHEALTH,STARHEALTH.NS
Financial Services,SBIN,SBIN.NS
Metals & Mining,SAIL,SAIL.NS
Chemicals,SUMICHEM,SUMICHEM.NS
Healthcare,SUNPHARMA,SUNPHARMA.NS
Media Entertainment & Publication,SUNTV,SUNTV.NS
Financial Services,SUNDARMFIN,SUNDARMFIN.NS
Capital Goods,SUPREMEIND,SUPREMEIND.NS
Chemicals,SPLPETRO,SPLPETRO.NS
Capital Goods,SUZLON,SUZLON.NS
Chemicals,SWANCORP,SWANCORP.NS
Consumer Services,SWIGGY,SWIGGY.NS
Healthcare,SYNGENE,SYNGENE.NS
Capital Goods,SYRMA,SYRMA.NS
Consumer Services,TBOTEK,TBOTEK.NS
Automobile and Auto Components,TVSMOTOR,TVSMOTOR.NS
Financial Services,TATACAP,TATACAP.NS
Chemicals,TATACHEM,TATACHEM.NS
Telecommunication,TATACOMM,TATACOMM.NS
Information Technology,TCS,TCS.NS
Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.NS
Information Technology,TATAELXSI,TATAELXSI.NS
Financial Services,TATAINVEST,TATAINVEST.NS
Capital Goods,TMCV,TMCV.NS
Automobile and Auto Components,TMPV,TMPV.NS
Power,TATAPOWER,TATAPOWER.NS
Metals & Mining,TATASTEEL,TATASTEEL.NS
Information Technology,TATATECH,TATATECH.NS
Telecommunication,TTML,TTML.NS
Information Technology,TECHM,TECHM.NS
Construction,TECHNOE,TECHNOE.NS
Capital Goods,TEGA,TEGA.NS
Telecommunication,TEJASNET,TEJASNET.NS
Automobile and Auto Components,TENNIND,TENNIND.NS
Financial Services,NIACL,NIACL.NS
Construction Materials,RAMCOCEM,RAMCOCEM.NS
Capital Goods,THERMAX,THERMAX.NS
Capital Goods,TIMKEN,TIMKEN.NS
Capital Goods,TITAGARH,TITAGARH.NS
Consumer Durables,TITAN,TITAN.NS
Healthcare,TORNTPHARM,TORNTPHARM.NS
Power,TORNTPOWER,TORNTPOWER.NS
Capital Goods,TARIL,TARIL.NS
Consumer Services,TRAVELFOOD,TRAVELFOOD.NS
Consumer Services,TRENT,TRENT.NS
Textiles,TRIDENT,TRIDENT.NS
Capital Goods,TRITURBINE,TRITURBINE.NS
Automobile and Auto Components,TIINDIA,TIINDIA.NS
Financial Services,UCOBANK,UCOBANK.NS
Automobile and Auto Components,UNOMINDA,UNOMINDA.NS
Chemicals,UPL,UPL.NS
Financial Services,UTIAMC,UTIAMC.NS
Construction Materials,ULTRACEMCO,ULTRACEMCO.NS
Financial Services,UNIONBANK,UNIONBANK.NS
Fast Moving Consumer Goods,UBL,UBL.NS
Fast Moving Consumer Goods,UNITDSPR,UNITDSPR.NS
Consumer Services,URBANCO,URBANCO.NS
Capital Goods,USHAMART,USHAMART.NS
Textiles,VTL,VTL.NS
Fast Moving Consumer Goods,VBL,VBL.NS
Metals & Mining,VEDL,VEDL.NS
Healthcare,VIJAYA,VIJAYA.NS
Consumer Services,VMM,VMM.NS
Telecommunication,IDEA,IDEA.NS
Consumer Durables,VOLTAS,VOLTAS.NS
Capital Goods,WAAREEENER,WAAREEENER.NS
Capital Goods,WELCORP,WELCORP.NS
Textiles,WELSPUNLIV,WELSPUNLIV.NS
Consumer Durables,WHIRLPOOL,WHIRLPOOL.NS
Information Technology,WIPRO,WIPRO.NS
Healthcare,WOCKPHARMA,WOCKPHARMA.NS
Financial Services,YESBANK,YESBANK.NS
Automobile and Auto Components,ZFCVINDIA,ZFCVINDIA.NS
Media Entertainment & Publication,ZEEL,ZEEL.NS
Capital Goods,ZENTEC,ZENTEC.NS
Information Technology,ZENSARTECH,ZENSARTECH.NS
Healthcare,ZYDUSLIFE,ZYDUSLIFE.NS
Fast Moving Consumer Goods,ZYDUSWELL,ZYDUSWELL.NS
Services,ECLERX,ECLERX.NS
